"ISIN","Symbol","ConId","Currency","PrimaryExchange","BestExchange","Rows","FirstDate","LastDate","LastClose"
"IE00BGJWX091","XDPD","341199664","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","99.978"
"IE00BGPP6473","CBUE","361086253","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","4.1483"
"IE00BGQYRR35","XUCD","289088568","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","84.81"
"IE00BGQYRS42","XUTC","289088591","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","150.62"
"IE00BGV5VN51","XAIX","352446357","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","208.9"
"IE00BGV5VR99","XMOV","352446362","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","119.74"
"IE00BH4GPZ28","SPPY","393975471","EUR","IBIS2","SMART","92","2026-04-08","2026-08-14","49.73"
"IE00BHZPJ239","EDM2","392849669","USD","EBS","SMART","90","2026-04-08","2026-08-14","9.525"
"IE00BHZPJ452","EDMJ","364341776","USD","EBS","SMART","90","2026-04-08","2026-08-14","10.476"
"IE00BHZPJ569","EDMW","364341798","USD","EBS","SMART","86","2026-04-08","2026-08-13","12.53"
"IE00BHZPJ908","EDMU","364341786","USD","EBS","SMART","90","2026-04-08","2026-08-14","13.972"
"IE00BHZRR030","FLXK","370361674","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","87.09"
"IE00BHZRR147","FLXC","370361669","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","25.71"
"IE00BJ5FQX74","0NR","374775485","EUR","FWB","SMART","18","2026-04-13","2026-07-02","4.536"
"IE00BJ5JNY98","WITS","401329546","USD","AEB","SMART","90","2026-04-10","2026-08-14","21.325"
"IE00BJL36X53","ZPR6","381154136","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","30.816"
"IE00BJQRDP39","IQSE","402333206","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","105.3"
"IE00BJSFQW37","36B7","421350007","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","4.1557"
"IE00BJZ2DC62","XRSM","187655599","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","58.6"
"IE00BK5H8015","ZPDX","385818280","EUR","AEB","SMART","92","2026-04-08","2026-08-14","39.57"
"IE00BK8JH525","SPFD","392294736","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","28.139"
"IE00BK95B138","SNA2","603512456","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","3.6565"
