ISIN,Status,conId,Symbol,LocalSymbol,SecurityType,PrimaryExchange,Exchange,Currency,LongName,FirstHistoricalDate,ContractMatches,Error
AU000000AMI1,OK,153982092,YTR,YTR,STK,SWB,SMART,EUR,AURELIA METALS LTD,2014-06-05,2,
AU000000AMP6,OK,3882741,AMP,AMP,STK,ASX,SMART,AUD,AMP LIMITED,2004-05-04,2,
AU000000ANG3,OK,44187848,ANG,ANG,STK,ASX,SMART,AUD,AUSTIN ENGINEERING LTD,2007-05-11,2,
AU000000ANN9,OK,4109727,ANN,ANN,STK,ASX,SMART,AUD,ANSELL LTD,2004-05-04,2,
AU000000AON7,OK,46914651,AON,AON,STK,ASX,SMART,AUD,APOLLO MINERALS LTD,2015-05-01,2,
AU000000APX3,OK,179250385,APX,APX,STK,ASX,SMART,AUD,APPEN LTD,2015-01-06,2,
AU000000ARU5,OK,44188332,ARU,ARU,STK,ASX,SMART,AUD,ARAFURA RARE EARTHS LTD,2007-05-11,2,
AU000000ARV3,OK,44188338,ARV,ARV,STK,ASX,SMART,AUD,ARTEMIS RESOURCES LTD,2017-02-01,2,
AU000000ASB3,OK,14062050,ASB,ASB,STK,ASX,SMART,AUD,AUSTAL LTD,2004-05-04,2,
AU000000ASN8,OK,218311180,ASN,ASN,STK,ASX,SMART,AUD,ANSON RESOURCES LTD,2010-07-08,2,
AU000000ASP3,OK,14061983,ASP,ASP,STK,ASX,SMART,AUD,ASPERMONT LTD,2026-03-03,2,
AU000000ASX7,OK,4354508,ASX,ASX,STK,ASX,SMART,AUD,ASX LTD,2004-05-04,2,
AU000000ATC9,OK,173358925,ATC,ATC,STK,ASX,SMART,AUD,ALTECH BATTERIES LTD,2010-01-27,2,
AU000000AUB9,OK,44187865,AUB,AUB,STK,ASX,SMART,AUD,AUB GROUP LTD,2007-05-11,2,
AU000000AUC7,OK,70961940,AUC,AUC,STK,ASX,SMART,AUD,AUSGOLD LTD,2024-08-05,2,
AU000000AUQ7,OK,44492192,AUQ,AUQ,STK,ASX,SMART,AUD,ALARA RESOURCES LTD,2007-05-28,1,
AU000000AUZ8,OK,44188369,AUZ,AUZ,STK,ASX,SMART,AUD,AUSTRALIAN MINES LTD,2021-12-22,2,
AU000000AVH4,OK,52187946,AVH,AVH,STK,ASX,SMART,AUD,AVITA MEDICAL INC - CDI,2008-06-27,2,
AU000000AVL6,OK,213929763,AVL,AVL,STK,ASX,SMART,AUD,AUSTRALIAN VANADIUM LTD,2008-01-02,2,
AU000000AXE7,OK,45665137,AXE,AXE,STK,ASX,SMART,AUD,ARCHER MATERIALS LTD,2007-08-15,2,
AU000000AZJ1,OK,118158558,AZJ,AZJ,STK,ASX,SMART,AUD,AURIZON HOLDINGS LTD,2010-11-21,2,
AU000000BAP9,OK,149638935,BAP,BAP,STK,ASX,SMART,AUD,BAPCOR LTD,2014-04-24,1,
AU000000BCI0,OK,44188412,BCI,BCI,STK,ASX,SMART,AUD,BCI MINERALS LTD,2007-05-11,2,
AU000000BEN6,OK,13902720,BEN,BEN,STK,ASX,SMART,AUD,BENDIGO AND ADELAIDE BANK,2004-05-04,2,
AU000000BGA8,OK,93033793,BGA,BGA,STK,ASX,SMART,AUD,BEGA CHEESE LTD,2011-08-19,1,
AU000000BHP4,OK,4036812,BHP,BHP,STK,ASX,SMART,AUD,BHP GROUP LTD,2004-05-04,3,
AU000000BKY0,OK,44188692,BKY,BKY,STK,ASX,SMART,AUD,BERKELEY ENERGIA LTD,2007-05-11,3,
AU000000BMN9,OK,44188438,BMN,BMN,STK,ASX,SMART,AUD,BANNERMAN ENERGY LTD,2022-07-19,2,
AU000000BNR8,OK,81931693,BNR,BNR,STK,ASX,SMART,AUD,BULLETIN RESOURCES LTD,2010-12-19,2,
AU000000BOE4,OK,45440801,BOE,BOE,STK,ASX,SMART,AUD,BOSS ENERGY LTD,2021-11-28,2,
AU000000BOL9,OK,38251668,BOL,BOL,STK,ASX,SMART,AUD,BOOM LOGISTICS LTD,2024-11-25,1,
AU000000BOQ8,OK,11470910,BOQ,BOQ,STK,ASX,SMART,AUD,BANK OF QUEENSLAND LTD,2004-05-04,2,
AU000000BPT9,OK,14062281,BPT,BPT,STK,ASX,SMART,AUD,BEACH ENERGY LTD,2004-05-04,2,
AU000000BRG2,OK,56238411,BRG,BRG,STK,ASX,SMART,AUD,BREVILLE GROUP LTD,2008-11-26,2,
AU000000BRN8,OK,206012554,BRN,BRN,STK,ASX,SMART,AUD,BRAINCHIP HOLDINGS LTD,2011-11-08,2,
AU000000BSL0,OK,15192570,BSL,BSL,STK,ASX,SMART,AUD,BLUESCOPE STEEL LTD,2012-12-09,2,
AU000000BSX5,OK,263021104,BSX,BSX,STK,ASX,SMART,AUD,BLACKSTONE MINERALS LTD,2017-01-22,2,
AU000000BUX1,OK,46914181,BUX,BUX,STK,ASX,SMART,AUD,BUXTON RESOURCES LTD,2007-10-24,1,
AU000000BVS9,OK,255582321,BVS,BVS,STK,ASX,SMART,AUD,BRAVURA SOLUTIONS LTD,2016-11-15,3,
AU000000BWP3,OK,4242291,BWP,BWP,STK,ASX,SMART,AUD,BWP PROPERTY GROUP LTD,2025-07-29,1,
AU000000BXB1,OK,41881274,BXB,BXB,STK,ASX,SMART,AUD,BRAMBLES LTD,2006-11-26,2,
AU000000CAA9,NO_HEAD_TIMESTAMP,12888918,CAA,CAA,STK,ASX,SMART,AUD,CAPRAL LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CAR3,NO_HEAD_TIMESTAMP,185186710,CAR,CAR,STK,ASX,SMART,AUD,CAR GROUP LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CAV5,NO_HEAD_TIMESTAMP,44188723,CAV,CAV,STK,ASX,SMART,AUD,CARNAVALE RESOURCES LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CBA7,NO_HEAD_TIMESTAMP,4036818,CBA,CBA,STK,ASX,SMART,AUD,COMMONWEALTH BANK OF AUSTRAL,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CCE7,NO_HEAD_TIMESTAMP,258666221,CCE,CCE,STK,ASX,SMART,AUD,CARNEGIE CLEAN ENERGY LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CCP3,NO_HEAD_TIMESTAMP,14062936,CCP,CCP,STK,ASX,SMART,AUD,CREDIT CORP GROUP LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CGF5,NO_HEAD_TIMESTAMP,14062921,CGF,CGF,STK,ASX,SMART,AUD,CHALLENGER LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CGO7,NO_HEAD_TIMESTAMP,14062930,CGO,CGO,STK,ASX,SMART,AUD,CPT GLOBAL LIMITED,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CHN7,NO_HEAD_TIMESTAMP,44188792,CHN,CHN,STK,ASX,SMART,AUD,CHALICE MINING LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CIA2,OK,147665638,CIA,CIA,STK,TSE,SMART,CAD,CHAMPION IRON LTD,2014-03-31,3,
AU000000CKF7,NO_HEAD_TIMESTAMP,92135994,CKF,CKF,STK,ASX,SMART,AUD,COLLINS FOODS LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CLA6,NO_HEAD_TIMESTAMP,115280255,CLA,CLA,STK,ASX,SMART,AUD,CELSIUS RESOURCES LTD,,3,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CNJ3,NO_HEAD_TIMESTAMP,131013321,CNJ,CNJ,STK,ASX,SMART,AUD,CONICO LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000COB8,NO_HEAD_TIMESTAMP,264541204,COB,COB,STK,ASX,SMART,AUD,COBALT BLUE HOLDINGS LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000COH5,NO_HEAD_TIMESTAMP,12370091,COH,COH,STK,ASX,SMART,AUD,COCHLEAR LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CPU5,NO_HEAD_TIMESTAMP,11289549,CPU,CPU,STK,ASX,SMART,AUD,COMPUTERSHARE LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CSL8,NO_HEAD_TIMESTAMP,11294198,CSL,CSL,STK,ASX,SMART,AUD,CSL LIMITED,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CTP7,NO_HEAD_TIMESTAMP,44187931,CTP,CTP,STK,ASX,SMART,AUD,CENTRAL PETROLEUM LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CVN8,NO_HEAD_TIMESTAMP,14062547,CVN,CVN,STK,ASX,SMART,AUD,CARNARVON ENERGY LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CWY3,NO_HEAD_TIMESTAMP,221020224,CWY,CWY,STK,ASX,SMART,AUD,CLEANAWAY WASTE MANAGEMENT L,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CXO2,NO_HEAD_TIMESTAMP,83959183,CXO,CXO,STK,ASX,SMART,AUD,CORE LITHIUM LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CXU9,NO_HEAD_TIMESTAMP,60749530,CXU,CXU,STK,ASX,SMART,AUD,CAULDRON ENERGY LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000CYP7,NO_HEAD_TIMESTAMP,138421210,CYP,CYP,STK,ASX,SMART,AUD,CYNATA THERAPEUTICS LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000DCC9,NO_HEAD_TIMESTAMP,153515849,DCC,DCC,STK,ASX,SMART,AUD,DIGITAL X LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000DDR5,NO_HEAD_TIMESTAMP,83002563,DDR,DDR,STK,ASX,SMART,AUD,DICKER DATA LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000DEV5,NO_HEAD_TIMESTAMP,298212850,DEV,DEV,STK,ASX,SMART,AUD,DEVEX RESOURCES LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000DKM1,NO_HEAD_TIMESTAMP,162217993,DKM,DKM,STK,ASX,SMART,AUD,DUKETON MINING LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000DMP0,NO_HEAD_TIMESTAMP,44200583,DMP,DMP,STK,ASX,SMART,AUD,DOMINO'S PIZZA ENTERPRISES L,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000DOW2,NO_HEAD_TIMESTAMP,12888945,DOW,DOW,STK,ASX,SMART,AUD,DOWNER EDI LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000DRO2,NO_HEAD_TIMESTAMP,237880551,DRO,DRO,STK,ASX,SMART,AUD,DRONESHIELD LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
