ISIN,conId,Symbol,Currency,Status,Rows,FirstDate,LastDate,Error
HK0285041858,100759826,4BY,EUR,OK,1272,2019-01-02,2023-12-29,
HK0291001490,603525452,CHK,EUR,OK,128,2023-07-03,2023-12-29,
HK0293001514,29873748,CTY,EUR,OK,1273,2019-01-02,2023-12-29,
HK0308001558,43654293,CTVIF,USD,OK,1254,2019-01-02,2023-12-29,
HK0363006039,463054981,SGI,EUR,OK,771,2021-01-04,2023-12-29,
HK0388045442,165092219,HK2C,EUR,OK,125,2023-07-06,2023-12-29,
HK0392044647,603521734,BJEB,EUR,OK,265,2022-12-16,2023-12-29,
HK0440001847,603508737,DSR,EUR,OK,265,2022-12-16,2023-12-29,
HK0639031506,603522957,FU7,EUR,OK,265,2022-12-16,2023-12-29,
HK0656038673,105468337,FNI,EUR,OK,1272,2019-01-02,2023-12-29,
HK0669013440,603513885,TIB1,EUR,OK,265,2022-12-16,2023-12-29,
HK0688002218,105468340,CPP,EUR,OK,1272,2019-01-02,2023-12-29,
HK0817039453,603527604,3F5,EUR,OK,265,2022-12-16,2023-12-29,
HK0823032773,435743356,L5R,EUR,OK,882,2020-07-21,2023-12-29,
HK0880043028,603517246,3MG,EUR,OK,265,2022-12-16,2023-12-29,
HK0992009065,96136735,LHL,EUR,OK,128,2023-07-03,2023-12-29,
HK1093012172,491892282,CVG1,EUR,OK,676,2021-05-19,2023-12-29,
HK1208013172,105468347,OMS1,EUR,OK,1272,2019-01-02,2023-12-29,
HK1883037637,603520811,B7O,EUR,OK,265,2022-12-16,2023-12-29,
HK2356013600,603531815,RY2,EUR,OK,265,2022-12-16,2023-12-29,
HK2380027329,603532031,HPD,EUR,OK,265,2022-12-16,2023-12-29,
HK2388011192,96136865,BOF,EUR,OK,1272,2019-01-02,2023-12-29,
HK3377040226,603505840,3SD,EUR,OK,265,2022-12-16,2023-12-29,
HK3808041546,451697859,4SK,EUR,OK,818,2020-10-23,2023-12-29,
HU0000061726,100408481,OTP,EUR,OK,1276,2019-01-02,2023-12-29,
HU0000073457,603513851,RMV1,EUR,OK,265,2022-12-16,2023-12-29,
HU0000073507,96136885,MGYB,EUR,OK,1272,2019-01-02,2023-12-29,
HU0000074844,160120420,ZWC1,EUR,OK,1276,2019-01-02,2023-12-29,
HU0000123096,130912861,RIG2,EUR,OK,1272,2019-01-02,2023-12-29,
HU0000153937,288307443,MOGB,EUR,OK,1272,2019-01-02,2023-12-29,
ID1000053705,603519368,MEF,EUR,OK,265,2022-12-16,2023-12-29,
ID1000057003,130802194,ISM,EUR,OK,1276,2019-01-02,2023-12-29,
ID1000058407,603531238,UTY,EUR,OK,265,2022-12-16,2023-12-29,
ID1000060007,167956067,D7V,EUR,OK,1276,2019-01-02,2023-12-29,
ID1000062201,603520771,IKP,EUR,OK,265,2022-12-16,2023-12-29,
ID1000066004,603513419,ASX,EUR,OK,265,2022-12-16,2023-12-29,
ID1000068604,587796677,GGG,EUR,OK,325,2022-09-26,2023-12-29,
ID1000068703,120442261,PJM,EUR,OK,1276,2019-01-02,2023-12-29,
ID1000076706,603510233,T2L,EUR,OK,265,2022-12-16,2023-12-29,
