ISIN,Stage,Error
AU000000PRU3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PSC9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PTL8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PWN8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PXX5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000QAN2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000QBE9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000QUB5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000REA9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000RHC8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000RIC6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000RIO1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000RMS4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000RMX4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000RRL8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000RSG6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000RUL2,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
AU000000RWC7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000S320,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SBM8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SBR7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SDF8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SDV5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SEK6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SER1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SFR8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SGM7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SGP0,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SGQ8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SHV6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SIG5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SLC8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SLX4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SMR4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SOL3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SOM1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SPL0,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SRN2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SSM2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000STO6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000STX7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SUN6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SVL8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SVM6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SXL4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000SYR9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TBR5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TCL6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TER9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TLG7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TLS2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TNE8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TOE6,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
AU000000TON7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TOU2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TPC7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TPW5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TRS9,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
AU000000TTT3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TWE9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000TYX5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000VKA8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000VML1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000VRC9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000WAF6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000WBC1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000WBT5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000WEB7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000WEC5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000WES1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000WGN7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000WGX6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Query failed
AU000000WHC8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000WOW2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000WTC3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000YAL0,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000YOJ5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000ZLD1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000ZNC9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000010464,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000012023,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000012098,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000016875,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000018236,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000021461,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000024275,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000030678,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000033359,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000033946,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000036949,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
AU0000047441,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000049033,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000054587,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000058943,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000061897,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000066086,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
