date,slot,action,key,ISIN,Symbol,conId,Currency,price,slot_value,momentum_signal,avg_turnover_signal,reason
2019-02-28,96,BUY,261734723,FR0013227113,SOI,261734723,EUR,70.15,0.01,0.32580037664783434,8317928.172499999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,97,BUY,6580387,DE0006452907,NEM,6580387,EUR,42.8,0.01,0.32565583838307677,17086896.480164997,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,98,BUY,160209909,NL0010832176,ARGX,160209909,EUR,116.8,0.01,0.3233256351039262,11546728.879999999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,99,BUY,13681,US9581021055,WDC,13681,USD,38.1502,0.01,0.32097394643151356,5715210.173495,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-04,73,SELL,80269548,US8740801043,TAL,80269548,USD,36.41,0.01022752808988764,0.35444486837085076,984420.8785,SELL_THRESHOLD_OR_INVALID
2019-03-04,73,BUY,291995344,US8753722037,TNDM,291995344,USD,64.47,0.01022752808988764,0.9011267605633801,1160623.6,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-07,24,SELL,148163036,US70432V1026,PAYC,148163036,USD,176.23,0.00973646408839779,0.3713304184884445,911906.002,SELL_THRESHOLD_OR_INVALID
2019-03-07,24,BUY,47419140,JP3127700007,4563,47419140,JPY,1020.0,0.00973646408839779,1.2241014799154333,16917205465.0,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-13,17,SELL,129131475,US2220702037,COTY,129131475,USD,10.99,0.009990909090909094,0.49382716049382713,858216.4795,SELL_THRESHOLD_OR_INVALID
2019-03-13,42,SELL,286030327,US1858991011,CLF,286030327,USD,10.18,0.009196025293586268,0.18408551068883616,998234.9139999999,SELL_THRESHOLD_OR_INVALID
2019-03-13,17,BUY,2586035,US69331C1080,PCG,2586035,USD,19.33,0.009990909090909094,1.9584615384615387,1650213.6005000002,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-13,42,BUY,292735472,US81141R1005,SE,292735472,USD,22.88,0.009196025293586268,0.8965517241379313,1502108.312,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-14,35,SELL,9365,US5770811025,MAT,9365,USD,14.46,0.009870307167235495,0.17120000000000002,943165.4010000002,SELL_THRESHOLD_OR_INVALID
2019-03-14,35,BUY,128713428,JP3235900002,3765,128713428,JPY,3840.0,0.009870307167235495,0.8,6002399590.0,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-18,6,SELL,48871211,ES0136463017,ADX,48871211,EUR,2.11,0.008719008264462811,-0.15662650602409645,1427013.5225,SELL_THRESHOLD_OR_INVALID
2019-03-18,22,SELL,225537613,GB00B125SX82,PANR,225537613,GBP,19.1,0.007717171717171719,-0.15319148936170224,19032167.766,SELL_THRESHOLD_OR_INVALID
2019-03-18,25,SELL,215212708,ES0167733015,ORY,215212708,EUR,3.65,0.009617918313570489,0.3479853479853481,931433.7702499998,SELL_THRESHOLD_OR_INVALID
2019-03-18,58,SELL,73911494,US78467J1007,SSNC,73911494,USD,62.6,0.010162337662337663,0.27149877149877133,982131.718,SELL_THRESHOLD_OR_INVALID
2019-03-18,6,BUY,11652136,DE0005558696,PGN,11652136,EUR,38.1,0.008719008264462811,0.7794117647058822,1263266.3399999999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-18,22,BUY,173949754,JP3130830007,9517,173949754,JPY,1017.0,0.007717171717171719,0.7138211382113822,777979660.0,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-18,25,BUY,183004988,FR0012432516,POXEL,183004988,EUR,7.72,0.009617918313570489,0.6351606805293006,1434676.3110000002,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-18,58,BUY,14015814,JP3346300001,4725,14015814,JPY,1403.0,0.010162337662337663,0.49202975557917106,222791775.0,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-21,76,SELL,235165280,FR0013153541,MDM,235165280,EUR,18.69,0.00812608695652174,-0.16085790884718487,5113860.880000001,SELL_THRESHOLD_OR_INVALID
2019-03-21,76,BUY,339001919,KYG851581069,STNE,339001919,USD,43.25,0.00812608695652174,0.7811934900542494,1083712.807,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-25,8,SELL,4816201,US91347P1057,OLED,4816201,USD,155.33,0.010356023734915659,0.5284251584592883,902315.2414999999,SELL_THRESHOLD_OR_INVALID
2019-03-25,12,SELL,332794741,US62914V1061,NIO,332794741,USD,5.38,0.005546391752577319,-0.15419161676646698,3739447.1730000004,SELL_THRESHOLD_OR_INVALID
2019-03-25,56,SELL,13804030,DE0005659700,EUZ,13804030,EUR,16.6858,0.009012920510770695,-0.17075563797273363,1559166.842385,SELL_THRESHOLD_OR_INVALID
2019-03-25,87,SELL,269515674,CA1350861060,GOOS,269515674,USD,46.06,0.00808070175438597,-0.01588271227855831,988437.9460000001,SELL_THRESHOLD_OR_INVALID
2019-03-25,8,BUY,52187946,AU000000AVH4,AVH,52187946,AUD,5.3,0.010356023734915659,1.3043478260869565,1850530.02,TOP_LIQUID_MOMENTUM_CANDIDATE
