Variant,MomentumDays,SellThreshold,BuyThreshold,MinTurnover,MinPrice,Crash,PeakDate,TroughDate,ReturnToTrough,StocksAtTrough,CashAtTrough,EligibleAtTrough,ReturnPeakToPlus3M,StocksPlus3M,CashPlus3M,ReturnPeakToPlus6M,StocksPlus6M,CashPlus6M,ReturnPeakToPlus12M,StocksPlus12M,CashPlus12M
mom40_sell05_buy02_liq1000000_p0_5,40,-0.05,0.02,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.332348063753116,81,0.21548114120682554,63,-0.151695917387753,100,0.0,-0.019212764211585798,100,0.0,0.5723449721755596,100,0.0
mom40_sell05_buy02_liq1000000_p0_5,40,-0.05,0.02,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.12739083394269923,100,0.0,241,-0.1297754602500819,100,0.0,-0.1353772814268105,100,0.0,-0.21263042315678637,100,0.0
mom40_sell05_buy05_liq1000000_p0_5,40,-0.05,0.05,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.3227203363483534,62,0.39600652733749736,50,-0.14141001899257777,100,0.0,0.025152246182807758,100,0.0,0.5424386460681345,100,0.0
mom40_sell05_buy05_liq1000000_p0_5,40,-0.05,0.05,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.25257568650988516,100,0.0,159,-0.20492922676506165,100,0.0,-0.23069916644246902,100,0.0,-0.2961206957182586,100,0.0
mom40_sell10_buy00_liq1000000_p0_5,40,-0.1,0.0,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.30918253246268423,100,0.0,76,-0.1057011038817719,100,0.0,0.0075910126325553495,100,0.0,0.5247276339060989,100,0.0
mom40_sell10_buy00_liq1000000_p0_5,40,-0.1,0.0,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.22612455948305354,100,0.0,320,-0.17231094792141588,100,0.0,-0.2319627650392485,100,0.0,-0.3268623450747178,100,0.0
mom40_sell10_buy02_liq1000000_p0_5,40,-0.1,0.02,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.309154689238757,92,0.08611238687984389,63,-0.09921779433165134,100,0.0,0.03320815893315032,100,0.0,0.5032007988515854,100,0.0
mom40_sell10_buy02_liq1000000_p0_5,40,-0.1,0.02,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.1229390656302689,100,0.0,241,-0.06709340220597848,100,0.0,-0.11805208842005754,100,0.0,-0.17312697014480893,100,0.0
mom40_sell10_buy05_liq1000000_p0_5,40,-0.1,0.05,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.30429855945830464,72,0.2273088646526737,50,-0.09777956625779294,100,0.0,0.04277302548729267,100,0.0,0.518841381705162,100,0.0
mom40_sell10_buy05_liq1000000_p0_5,40,-0.1,0.05,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.14669113545875057,100,0.0,159,-0.11220347938029862,100,0.0,-0.15843214502369407,100,0.0,-0.25041144159020157,100,0.0
mom40_sell15_buy00_liq1000000_p0_5,40,-0.15,0.0,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.3224000456777505,100,0.0,76,-0.11344457204056746,100,0.0,0.0053669439326196056,100,0.0,0.1661484741290009,100,0.0
mom40_sell15_buy00_liq1000000_p0_5,40,-0.15,0.0,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.24900576118857154,100,0.0,320,-0.23110315960244487,100,0.0,-0.24832181036079937,100,0.0,-0.2916893991920787,100,0.0
mom40_sell15_buy02_liq1000000_p0_5,40,-0.15,0.02,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.32034846412713347,96,0.03579265439212981,63,-0.09772946437537788,100,0.0,0.010583812286061534,100,0.0,0.1949764589662255,100,0.0
mom40_sell15_buy02_liq1000000_p0_5,40,-0.15,0.02,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.12245060371651939,100,0.0,241,-0.1035131237590734,100,0.0,-0.15718263532303245,100,0.0,-0.11939450972960408,100,0.0
mom40_sell15_buy05_liq1000000_p0_5,40,-0.15,0.05,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.32029408355475475,74,0.22486979945616323,50,-0.11420001524584422,100,0.0,0.007889534357831574,100,0.0,0.21599823430123988,100,0.0
mom40_sell15_buy05_liq1000000_p0_5,40,-0.15,0.05,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.2355159520824739,100,0.0,159,-0.2159122262595381,100,0.0,-0.2187540659188716,100,0.0,-0.19943061020169695,100,0.0
