date,nav,cash,cash_frac,n_stocks,trades,eligible_count
2021-01-11,1.6009952157670841,0.0,0.0,100,1366,1414
2021-01-12,1.62423896711319,0.0,0.0,100,1366,1308
2021-01-13,1.6448920627872605,0.0,0.0,100,1368,1308
2021-01-14,1.6664090753947154,0.0,0.0,100,1368,1348
2021-01-15,1.633696057975194,0.0,0.0,100,1368,1328
2021-01-18,1.6420505054630163,0.0,0.0,100,1370,1270
2021-01-19,1.6593038659927137,0.0,0.0,100,1370,1241
2021-01-20,1.6769098095848294,0.0,0.0,100,1376,1190
2021-01-21,1.6926482005883607,0.0,0.0,100,1378,1228
2021-01-22,1.7273356302534468,0.0,0.0,100,1378,1182
2021-01-25,1.717776694141285,0.0,0.0,100,1378,1114
2021-01-26,1.7154884683315996,0.0,0.0,100,1380,1237
2021-01-27,1.6730109204901835,0.0,0.0,100,1382,1046
2021-01-28,1.6643228798648442,0.0,0.0,100,1384,1057
2021-01-29,1.6293450851915705,0.0,0.0,100,1384,912
2021-02-01,1.6689280902023462,0.0,0.0,100,1392,998
2021-02-02,1.6901190385020215,0.0,0.0,100,1392,1167
2021-02-03,1.7247104443258068,0.0,0.0,100,1392,1197
2021-02-04,1.7226623023522223,0.0,0.0,100,1392,1232
2021-02-05,1.7523780563297207,0.0,0.0,100,1394,1332
2021-02-08,1.8015798376781753,0.0,0.0,100,1394,1450
2021-02-09,1.837523452260579,0.0,0.0,100,1396,1424
2021-02-10,1.80820934375289,0.0,0.0,100,1402,1372
2021-02-11,1.822969463258432,0.0,0.0,100,1404,1347
2021-02-12,1.8276643627580473,0.0,0.0,100,1404,1340
2021-02-15,1.864229689093509,0.0,0.0,100,1408,1444
2021-02-16,1.8540747886956614,0.0,0.0,100,1408,1552
2021-02-17,1.8339084933180405,0.0,0.0,100,1410,1533
2021-02-18,1.740361653262191,0.0,0.0,100,1412,1370
2021-02-19,1.7950942187446666,0.0,0.0,100,1416,1364
2021-02-22,1.7273295797065502,0.0,0.0,100,1418,1353
2021-02-23,1.6488670706537394,0.0,0.0,100,1418,1301
2021-02-24,1.6638060221986617,0.0,0.0,100,1422,1263
2021-02-25,1.5703782378892697,0.0,0.0,100,1430,1241
2021-02-26,1.5613251005648878,0.0,0.0,100,1432,1160
2021-03-01,1.6252852491296654,0.0,0.0,100,1434,1332
2021-03-02,1.595255121226935,0.0,0.0,100,1436,1282
2021-03-03,1.5375181583801418,0.0,0.0,100,1442,1186
2021-03-04,1.4356750985896745,0.0,0.0,100,1450,1026
2021-03-05,1.4465170241014509,0.0,0.0,100,1462,975
2021-03-08,1.407811849843629,0.0,0.0,100,1472,1094
2021-03-09,1.4989677155611172,0.0,0.0,100,1482,1130
2021-03-10,1.49037033910641,0.0,0.0,100,1488,1139
2021-03-11,1.538972089945289,0.0,0.0,100,1488,1166
2021-03-12,1.5453038227370495,0.0,0.0,100,1490,1277
2021-03-15,1.5626242010182791,0.0,0.0,100,1492,1331
2021-03-16,1.5355159855517975,0.0,0.0,100,1494,1328
2021-03-17,1.5472109852124865,0.0,0.0,100,1498,1265
2021-03-18,1.5061347768552449,0.0,0.0,100,1500,1255
2021-03-19,1.5189332494648768,0.0,0.0,100,1506,1291
2021-03-22,1.4898482323864461,0.0,0.0,100,1516,1327
2021-03-23,1.452326441170934,0.0,0.0,100,1522,1260
2021-03-24,1.3987266040436024,0.0,0.0,100,1536,1314
2021-03-25,1.3835861742230102,0.0,0.0,100,1538,1308
2021-03-26,1.4095028853839657,0.0,0.0,100,1544,1497
2021-03-29,1.4003212375873775,0.0,0.0,100,1546,1398
2021-03-30,1.4193553331799482,0.0,0.0,100,1558,1277
2021-03-31,1.4393227711974563,0.0,0.0,100,1564,1221
2021-04-01,1.4430982073692895,0.0,0.0,100,1566,1248
2021-04-02,1.4479649795893332,0.0,0.0,100,1566,1138
2021-04-05,1.4550721638999662,0.0,0.0,100,1572,1094
2021-04-06,1.4686196395388775,0.0,0.0,100,1580,1126
2021-04-07,1.4540811338663664,0.0,0.0,100,1582,1145
2021-04-08,1.4753730480341063,0.0,0.0,100,1588,1148
2021-04-09,1.4581794609278809,0.0,0.0,100,1590,1132
2021-04-12,1.4562553170454617,0.0,0.0,100,1594,1022
2021-04-13,1.4698718118241332,0.0,0.0,100,1604,1045
2021-04-14,1.4526692684945925,0.0,0.0,100,1618,1080
2021-04-15,1.449318953677153,0.0,0.0,100,1620,1260
2021-04-16,1.451086625900105,0.0,0.0,100,1622,1244
2021-04-19,1.4317557752106944,0.0,0.0,100,1626,1193
2021-04-20,1.4195331479311628,0.0,0.0,100,1630,1059
2021-04-21,1.407628922555245,0.0,0.0,100,1634,1010
2021-04-22,1.408195984515171,0.0,0.0,100,1638,1109
2021-04-23,1.4095893953447105,0.0,0.0,100,1642,1255
2021-04-26,1.4240437282357057,0.0,0.0,100,1644,1148
2021-04-27,1.4275097756519741,0.0,0.0,100,1646,1150
2021-04-28,1.4218012925354184,0.0,0.0,100,1648,1155
2021-04-29,1.4207250031933232,0.0,0.0,100,1652,1253
2021-04-30,1.4285661802068594,0.0,0.0,100,1652,1220
2021-05-03,1.4370573316249713,0.0,0.0,100,1652,1161
2021-05-04,1.415155817482449,0.0,0.0,100,1654,987
2021-05-05,1.4224076773784424,0.0,0.0,100,1654,1056
2021-05-06,1.4236692423189687,0.0,0.0,100,1656,1001
2021-05-07,1.4394478679825222,0.0,0.0,100,1662,1074
2021-05-10,1.437599580472146,0.0,0.0,100,1664,1018
2021-05-11,1.409470094696974,0.0,0.0,100,1670,795
2021-05-12,1.3938194330780596,0.0,0.0,100,1674,748
2021-05-13,1.3616551787642397,0.0,0.0,100,1682,751
2021-05-14,1.3793212494018707,0.0,0.0,100,1694,929
