timestamp,symbol,phase,elapsed_ms,elapsed_s,success,message
2026-08-17T12:11:13.622,LORA.XFRA,historical-SMART,282,0.282,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:14.022,LORA.XFRA,snapshot-SMART,406,0.406,true,IBKR-Snapshot fuer OR wurde empfangen.
2026-08-17T12:11:14.818,LPE.XFRA,historical-SMART,296,0.296,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:15.519,LPE.XFRA,snapshot-SMART,703,0.703,true,IBKR-Snapshot fuer LPE wurde empfangen.
2026-08-17T12:11:16.343,LQG.XFRA,historical-FWB2,327,0.327,true,IBKR-Quotes fuer LQG wurden empfangen.
2026-08-17T12:11:17.506,LRC0.XFRA,historical-SMART,500,0.500,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:17.942,LRC0.XFRA,snapshot-SMART,437,0.437,true,IBKR-Snapshot fuer LR wurde empfangen.
2026-08-17T12:11:18.715,LSU2.XFRA,historical-SMART,265,0.265,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:19.428,LSU2.XFRA,snapshot-SMART,718,0.718,true,IBKR-Snapshot fuer BTS wurde empfangen.
2026-08-17T12:11:20.258,LWA.XFRA,historical-FWB2,328,0.328,true,IBKR-Quotes fuer LWA wurden empfangen.
2026-08-17T12:11:21.033,LYF.XFRA,historical-FWB2,313,0.313,true,IBKR-Quotes fuer LYF wurden empfangen.
2026-08-17T12:11:21.922,LYK1.XFRA,historical-FWB2,327,0.327,true,IBKR-Quotes fuer LYK1 wurden empfangen.
2026-08-17T12:11:22.723,LYQK.XFRA,historical-SMART,358,0.358,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:26.808,LYQK.XFRA,snapshot-SMART,4077,4.077,false,Zeitüberschreitung beim Abruf der IBKR-Daten.
2026-08-17T12:11:27.598,LYU.XFRA,historical-FWB2,358,0.358,true,IBKR-Quotes fuer LYU wurden empfangen.
2026-08-17T12:11:28.329,LYY7.XFRA,historical-SMART,282,0.282,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:28.730,LYY7.XFRA,snapshot-SMART,406,0.406,true,IBKR-Snapshot fuer LYY7 wurde empfangen.
2026-08-17T12:11:29.513,LYY8.XFRA,historical-SMART,281,0.281,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:30.315,LYY8.XFRA,snapshot-SMART,796,0.796,true,IBKR-Snapshot fuer LYY8 wurde empfangen.
2026-08-17T12:11:31.211,LZ61.XFRA,historical-FWB,281,0.281,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: LZ61@FWB Trades
2026-08-17T12:11:31.914,LZ61.XFRA,snapshot-FWB,702,0.702,true,IBKR-Snapshot fuer LZ61 wurde empfangen.
2026-08-17T12:11:32.888,M09.XFRA,historical-SMART,297,0.297,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:33.741,M09.XFRA,snapshot-SMART,859,0.859,true,IBKR-Snapshot fuer EGL wurde empfangen.
2026-08-17T12:11:34.534,M0W.XFRA,historical-SMART,266,0.266,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:35.666,M0W.XFRA,snapshot-SMART,1125,1.125,true,IBKR-Snapshot fuer SLBEN wurde empfangen.
2026-08-17T12:11:36.674,M1C1.XFRA,historical-FWB,296,0.296,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: M1C1@FWB Trades
2026-08-17T12:11:37.582,M1C1.XFRA,snapshot-FWB,906,0.906,true,IBKR-Snapshot fuer M1C1 wurde empfangen.
2026-08-17T12:11:38.432,M5C.XFRA,historical-FWB,296,0.296,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: M5C@FWB Trades
2026-08-17T12:11:39.123,M5C.XFRA,snapshot-FWB,688,0.688,true,IBKR-Snapshot fuer M5C wurde empfangen.
2026-08-17T12:11:39.966,M5Q.XFRA,historical-FWB,281,0.281,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: M5Q@FWB Trades
2026-08-17T12:11:44.032,M5Q.XFRA,snapshot-FWB,4063,4.063,false,Zeitüberschreitung beim Abruf der IBKR-Daten.
2026-08-17T12:11:44.180,M5Q.XFRA,snapshot-SMART,155,0.155,false,IBKR-Fehler 200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
2026-08-17T12:11:44.942,M6M.XFRA,historical-FWB,327,0.327,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: M6M@FWB Trades
2026-08-17T12:11:45.684,M6M.XFRA,snapshot-FWB,733,0.733,true,IBKR-Snapshot fuer M6M wurde empfangen.
2026-08-17T12:11:46.634,M7P.XFRA,historical-SMART,281,0.281,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:47.482,M7P.XFRA,snapshot-SMART,843,0.843,true,IBKR-Snapshot fuer ITD wurde empfangen.
2026-08-17T12:11:48.283,M8E.XFRA,historical-SMART,281,0.281,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:49.064,M8E.XFRA,snapshot-SMART,766,0.766,true,IBKR-Snapshot fuer MONT wurde empfangen.
2026-08-17T12:11:49.849,M8Y.XFRA,historical-SMART,281,0.281,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:50.307,M8Y.XFRA,snapshot-SMART,452,0.452,true,IBKR-Snapshot fuer MERY wurde empfangen.
2026-08-17T12:11:51.193,MAH0.XFRA,historical-SMART,375,0.375,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:52.559,MAH0.XFRA,snapshot-SMART,1358,1.358,true,IBKR-Snapshot fuer MREO wurde empfangen.
2026-08-17T12:11:53.344,MAR.XFRA,historical-SMART,265,0.265,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:54.131,MAR.XFRA,snapshot-SMART,797,0.797,true,IBKR-Snapshot fuer MAR wurde empfangen.
2026-08-17T12:11:55.034,MB01.XFRA,historical-FWB,281,0.281,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: MB01@FWB Trades
2026-08-17T12:11:56.010,MB01.XFRA,snapshot-FWB,969,0.969,true,IBKR-Snapshot fuer MB01 wurde empfangen.
2026-08-17T12:11:56.856,MCH1.XFRA,historical-SMART,281,0.281,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:57.285,MCH1.XFRA,snapshot-SMART,436,0.436,true,IBKR-Snapshot fuer CS wurde empfangen.
2026-08-17T12:11:58.173,MCP.XFRA,historical-SMART,264,0.264,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:59.354,MCP.XFRA,snapshot-SMART,1188,1.188,true,IBKR-Snapshot fuer MCP wurde empfangen.
2026-08-17T12:12:04.301,MCS.XFRA,historical-FWB,4358,4.358,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: MCS@FWB Trades
2026-08-17T12:12:04.978,MCS.XFRA,snapshot-FWB,672,0.672,true,IBKR-Snapshot fuer MCS wurde empfangen.
2026-08-17T12:12:05.934,MEB.XFRA,historical-SMART,296,0.296,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:12:06.356,MEB.XFRA,snapshot-SMART,422,0.422,true,IBKR-Snapshot fuer MEDCL wurde empfangen.
2026-08-17T12:12:07.130,MEX.XFRA,historical-SMART,281,0.281,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:12:07.591,MEX.XFRA,snapshot-SMART,452,0.452,true,IBKR-Snapshot fuer MELE wurde empfangen.
