Symbol,ISIN,Name,marketplace_sym,marketplace_exchange,marketplace_turnover,marketplace_last_error
6FV.XFRA,NO0010811961,SOFTOX SOLUTIONS NK 002,SOFTX.XOSL/XOSL,XOSL,448525.3000,Marketstack-Validierung: Symbol/MIC nicht gefunden
6GO1.XFRA,CA24780P1009,DELTA RES LTD,6GO1.XFRA/XFRA,XFRA,479.0025,Marketstack-Validierung: Name passt nicht (Delta Resources Limited)
6IRA.XFRA,SE0012675361,IRLAB THERAP. AB A,IRLAB-A.XSTO/XSTO,XSTO,1191378.3200,Marketstack-Validierung: Symbol/MIC nicht gefunden
6JT.XFRA,US6103351010,"MONROE CAP.CORP. DL -,001",6JT.XFRA/XFRA,XFRA,9885.1590,Marketstack-Validierung: Name passt nicht ()
6JV.XFRA,US3614381040,"GAMCO INVS INC. A DL-,01",6JV.XFRA/XFRA,XFRA,0.0000,"Marketstack-Validierung: Name passt nicht (GAMCO Investors, Inc.)"
6L2.XFRA,DE0007786303,ECHOS HOLDING AG,6L2.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (VGI Partners Global Investments Limited)
6MN.XFRA,JP3876600002,UMIOS CORP,6MN.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Maruha Nichiro Corporation)
6UJ.XFRA,DK0061540770,DONKEYREPUBLIC HLD.DK-10,DONKEY.XCSE/XCSE,XCSE,603499.9500,Marketstack-Validierung: Symbol/MIC nicht gefunden
6W0.XFRA,ZAE000057428,REUNERT LTD O.N.,RLO.XJSE/XJSE,XJSE,16686534529.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
6Y1.XFRA,SE0009807266,INTEGRUM AB B,INTEG-B.XSTO/XSTO,XSTO,6846631.7500,Marketstack-Validierung: Symbol/MIC nicht gefunden
6YD.XFRA,GB00B7TW1V39,"REDCENTRIC PLCLS-,001",RCN.XLON/XLON,XLON,104525785.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
6ZB.XFRA,SE0015949433,LINC AB,LINC.XSTO/XSTO,XSTO,10418271.4000,Marketstack-Validierung: Symbol/MIC nicht gefunden
702B.XFRA,CA98474P5013,Yangarra Resources Ltd,YGR.XTSE/XTSE,XTSE,1350761.6500,Marketstack-Validierung: Symbol/MIC nicht gefunden
71T.XFRA,GB00BK63S759,BRCK GROUP PLC,71T.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Brickability Group Plc)
725.XFRA,SE0005881786,OPTICEPT TECHNOLOGIES AB,OPTI.XSTO/XSTO,XSTO,12156092.3000,Marketstack-Validierung: Symbol/MIC nicht gefunden
733.XFRA,SE0014608915,FORTINOVA FASTIGH. B O.N.,FNOVA-B.XSTO/XSTO,XSTO,2132108.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
73V0.XFRA,US7323441060,PONCE FIN. GROUP DL -01,73V0.XFRA/XFRA,XFRA,0.0000,"Marketstack-Validierung: Name passt nicht (Ponce Financial Group, Inc.)"
74S.XFRA,CA6175771014,MORGUARD CORP.,MRG-UN.XTSE/XTSE,XTSE,4399631.0800,Marketstack-Validierung: Symbol/MIC nicht gefunden
75U.XFRA,PLCVTNH00040,CAVATINA HOLDING ZY - 13,CAV.XWAR/XWAR,XWAR,19631.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
773.XFRA,CA57980Q1063,MCCOY GLOBAL INC.,MCB.XTSE/XTSE,XTSE,1986081.5500,Marketstack-Validierung: Symbol/MIC nicht gefunden
777.XFRA,SG2G55000001,EUROSPORTS GLOBAL LTD,5G1.XSES/XSES,XSES,108166.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
77Q.XFRA,GB00BFYF6298,"KNIGHTS GROUP HOL LS-,002",KGH.XLON/XLON,XLON,182240054.3000,Marketstack-Validierung: Symbol/MIC nicht gefunden
785.XFRA,KYG913841006,TUYA INC.ADR/1A,785.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Tuya Inc.)
78D.XFRA,SE0007413455,ALZINOVA AB,ALZ.XSTO/XSTO,XSTO,2202746.3650,Marketstack-Validierung: Symbol/MIC nicht gefunden
79J.XFRA,FI4000390943,NETUM GROUP OYJ,NETUM.XHEL/XHEL,XHEL,103285.5100,Marketstack-Validierung: Symbol/MIC nicht gefunden
7AC.XFRA,SE0009268717,ACARIX AB,ACARIX.XSTO/XSTO,XSTO,5394060.3217,Marketstack-Validierung: Symbol/MIC nicht gefunden
7B4.XFRA,JP3248800009,KYOSAN EL. MFG,7B4.XFRA/XFRA,XFRA,0.0000,"Marketstack-Validierung: Name passt nicht (Kyosan Electric Manufacturing Co., Ltd.)"
7DC.XFRA,GB00BJQTGV64,DIACEUTICS PLC,DXRX.XLON/XLON,XLON,71893433.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
7E2.XFRA,PLICI0000010,IDH DEVELOPMENT S.A.,IDH.XWAR/XWAR,XWAR,15259.1200,Marketstack-Validierung: Symbol/MIC nicht gefunden
7GE.XFRA,SG2F24986083,Geo Energy Resources Limited,RE4.XSES/XSES,XSES,23796013.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
7GZ.XFRA,CA88646L1085,TIDEWATER RENEWABLES LTD,TWM.XTSE/XTSE,XTSE,24030226.9300,Marketstack-Validierung: Symbol/MIC nicht gefunden
7IZ.XFRA,SE0011415595,ZICCUM AB,ZICC.XSTO/XSTO,XSTO,1237625.7400,Marketstack-Validierung: Symbol/MIC nicht gefunden
7J00.XFRA,SE0018013658,FASTIGHETS AB TRIANON,BALD-B.XSTO/XSTO,XSTO,1042997303.4400,Marketstack-Validierung: Symbol/MIC nicht gefunden
7JB.XFRA,SE0015810817,ARLA PLAST AB,ARPL.XSTO/XSTO,XSTO,1237415.4000,Marketstack-Validierung: Symbol/MIC nicht gefunden
7JN.XFRA,GB00BKPG7Z60,POOLBEG PHARMA LS -0002,POLB.XLON/XLON,XLON,47397485.8600,Marketstack-Validierung: Symbol/MIC nicht gefunden
7M5.XFRA,GB0007325078,"RENOLD PLC LS-,05",RNO.XLON/XLON,XLON,51944709.6000,Marketstack-Validierung: Symbol/MIC nicht gefunden
7M8.XFRA,SE0003273531,ECORUB AB B,ECO.B.XSTO/XSTO,XSTO,15017550.8530,Marketstack-Validierung: Symbol/MIC nicht gefunden
7N5.XFRA,PLMNNCP00011,MENNICA POLSKA ZY 1,MNC.XWAR/XWAR,XWAR,2072384.9000,Marketstack-Validierung: Symbol/MIC nicht gefunden
7RG0.XFRA,US75915K3095,REGULUS THER.COMPAR DL001,RGLS/XNAS,XNAS,305341886.1800,Marketstack-Validierung: Symbol/MIC nicht gefunden
7RW.XFRA,SE0016075063,INTELLEGO TECHNOLOGIES AB,INT.XSTO/XSTO,XSTO,13212287.3000,Marketstack-Validierung: Symbol/MIC nicht gefunden
7S6.XFRA,GB00BM9CLS53,LORDS GROUP TRAD. LS-005,7S6.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Lords Group Trading plc)
7T7.XFRA,SE0014704763,SPOTLIGHT GROUP AB O.N.,SPGR.XSTO/XSTO,XSTO,326627.3000,Marketstack-Validierung: Symbol/MIC nicht gefunden
7U5.XFRA,PLBIOTN00029,BIOTON S.A. ZY 20,BIO.XWAR/XWAR,XWAR,1181182.6300,Marketstack-Validierung: Symbol/MIC nicht gefunden
7UP.XFRA,IT0005091324,CLABO S.P.A.,CLA.XMIL/XMIL,XMIL,234055.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
7VL.XFRA,SE0009920994,REALFICTION HOLDING AB,REALFI.XSTO/XSTO,XSTO,1986415.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
7VY.XFRA,JP3368400002,SWCC SHOWA HLDGS CO. LTD.,7VY.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (SWCC Corporation)
7WW.XFRA,GB00BFN4GY99,ZINWALD LITHIUM PLC,7WW.XFRA/XFRA,XFRA,88434.9315,Marketstack-Validierung: Name passt nicht (Zinnwald Lithium Plc)
7YB.XFRA,JP3480600000,DAIKI ALUM. IND.,7YB.XFRA/XFRA,XFRA,0.0000,"Marketstack-Validierung: Name passt nicht (Daiki Aluminium Industry Co., Ltd.)"
81F.XFRA,CA53228G1090,LIFESPEAK INC.,LSPK.XTSE/XTSE,XTSE,2168247.8100,Marketstack-Validierung: Symbol/MIC nicht gefunden
82C.XFRA,GB00BJVD3B28,NIOX GROUP PLC,NIOX.XLON/XLON,XLON,478747336.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
82E.XFRA,US4652701065,ITAFOS INC. ON,82E.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Itafos Inc.)
82Y.XFRA,SE0005676103,ORTOMA AB B,ORT.B.XSTO/XSTO,XSTO,2213027.1000,Marketstack-Validierung: Symbol/MIC nicht gefunden
